City_ID,City,Country,Latitude,Longitude,Max Temp,Description,Hotel Name
0,Umm Lajj,SA,25.0213,37.2685,66.74,clear sky,Moon light Furnished Units
3,Busselton,AU,-33.65,115.3333,64.04,scattered clouds,Observatory Guest House
7,Salinas,US,36.6777,-121.6555,64.83,clear sky,Laurel Inn & Conference Center
17,Ushuaia,AR,-54.8,-68.3,56.86,broken clouds,Albatross Hotel
18,Lebu,CL,-37.6167,-73.65,65.05,clear sky,Hostal Las Lilas
30,Punta Arenas,CL,-53.15,-70.9167,57.31,overcast clouds,Hotel Hain
37,Port Lincoln,AU,-34.7333,135.8667,68.2,broken clouds,Port Lincoln Hotel
48,Mwense,ZM,-10.3845,28.698,66.13,broken clouds,Mwense Council Guest House
53,Hermanus,ZA,-34.4187,19.2345,69.8,clear sky,Misty Waves Boutique Hotel
58,Ribeira Grande,PT,38.5167,-28.7,63.0,few clouds,Quinta da Meia Eira
70,Islamkot,PK,24.6997,70.177,61.09,clear sky,Haji Hotel
71,Faya,SA,18.3851,42.4509,55.51,few clouds,املاك خالد الشعشوع
74,San Patricio,US,28.017,-97.5169,57.29,overcast clouds,"Motel 6 Sinton, TX"
75,Meghraj,IN,23.5,73.5,56.28,clear sky,Arvalli Society meghraj
85,Mataura,NZ,-46.1927,168.8643,51.48,overcast clouds,Ellie's Villa
87,Hobart,AU,-42.8794,147.3294,61.27,overcast clouds,Mantra on Collins Hobart
90,Riyadh,SA,24.6877,46.7219,59.14,clear sky,"InterContinental Riyadh, an IHG Hotel"
92,Kibaya,TZ,-5.3,36.5667,61.68,overcast clouds,Lusaka Hotel
94,Bluff,NZ,-46.6,168.3333,51.8,overcast clouds,Bluff Homestead - Guesthouse & Campervan Park
105,New Norfolk,AU,-42.7826,147.0587,60.91,overcast clouds,The Shingles Riverside Cottages
107,Kaeo,NZ,-35.1,173.7833,68.32,light rain,Bushido Lodge
113,Tezu,IN,27.9167,96.1667,59.16,overcast clouds,Circuit House
122,Ponta Do Sol,PT,32.6667,-17.1,68.72,overcast clouds,Hotel do Campo
124,Najran,SA,17.4924,44.1277,59.65,few clouds,محمد هادي ال فطيح
126,Kaseda,JP,31.4167,130.3167,55.85,overcast clouds,Sun Stay Kaseda
129,Ponnampet,IN,12.15,75.9333,57.9,clear sky,The Yellow Bamboo Resort & Spa
137,Fairhope,US,30.523,-87.9033,50.05,clear sky,Hampton Inn Fairhope-Mobile Bay
141,Belle Fourche,US,44.6714,-103.8522,52.9,overcast clouds,Kings Inn
142,San Quintin,MX,30.4833,-115.95,63.14,clear sky,Don Eddie's Landing
149,Healdsburg,US,38.6105,-122.8692,60.69,clear sky,Best Western Dry Creek Inn
155,Victoria,HK,22.2855,114.1577,68.95,light rain,Mini Hotel Central
156,Ancud,CL,-41.8697,-73.8203,68.43,overcast clouds,Hotel Arena Gruesa
160,Valle De Guadalupe,MX,21.0,-102.6167,67.73,broken clouds,Hotel Río
185,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,broken clouds,Valle Aridane
190,Kaitangata,NZ,-46.2817,169.8464,53.92,overcast clouds,Kaitangata Motor Camp
192,Nizwa,OM,22.9333,57.5333,64.31,clear sky,Orient Apartments
194,Ekuvukeni,ZA,-28.4675,30.1551,61.79,clear sky,Sibeko Resident
196,Bardiyah,LY,31.7561,25.0865,51.31,overcast clouds,بورتو بردية
198,Fukue,JP,32.6881,128.8419,54.75,overcast clouds,Goto Guesthouse Utojuku & SA Car Rental
207,Yen Bai,VN,21.7,104.8667,66.52,scattered clouds,AK MOTEL
209,Ojinaga,MX,29.5667,-104.4167,53.56,clear sky,Suites Las Palmas
214,Jasper,US,37.2001,-94.3502,52.05,clear sky,Guest House Motel
217,Laguna,US,38.421,-121.4238,63.23,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
219,Saldanha,ZA,-33.0117,17.9442,69.85,scattered clouds,Blue Bay Lodge
249,Picayune,US,30.5255,-89.6795,50.88,clear sky,Holiday Inn Express & Suites Picayune
252,Cabra,ES,37.4725,-4.4421,52.66,overcast clouds,MS Fuente Las Piedras
255,Hervey Bay,AU,-25.2986,152.8535,69.03,scattered clouds,Shelly Bay Resort
257,Coihaique,CL,-45.5752,-72.0662,60.75,broken clouds,Diego De Almagro Coyhaique
260,Malanje,AO,-9.5402,16.341,66.6,broken clouds,Hotel Ginga
261,Fortuna,US,40.5982,-124.1573,62.94,clear sky,Super 8 by Wyndham Fortuna
263,Tuatapere,NZ,-46.1333,167.6833,51.82,overcast clouds,Ron and Tony's Bed & Breakfast
265,Byron Bay,AU,-28.65,153.6167,67.95,broken clouds,Backpackers Inn
273,Tahta,EG,26.7693,31.5021,54.68,clear sky,shady waheed
293,Rio Gallegos,AR,-51.6226,-69.2181,62.65,scattered clouds,Hotel Santa Cruz
301,Dalby,AU,-27.1833,151.2667,61.99,overcast clouds,Kobbers Motor Inn Dalby
305,Lingao,CN,19.9103,109.6859,69.64,broken clouds,Lingao Ditai Inn
310,Otane,NZ,-39.8833,176.6333,63.01,light rain,Ludlow Farmstay
311,Whittlesea,ZA,-32.1759,26.8244,68.05,clear sky,Eddie's Nest B&B
316,Yenangyaung,MM,20.4667,94.8833,66.52,clear sky,Hotel Country
325,Kadhan,PK,24.481,68.9859,60.19,clear sky,ڳوٺ چوڌري جلال الدين جٽ
326,Flinders,AU,-34.5833,150.8552,66.2,overcast clouds,Shellharbour Resort & Conference Centre
332,Christchurch,NZ,-43.5333,172.6333,57.02,mist,The George
334,Berja,ES,36.8469,-2.9497,51.76,overcast clouds,Hotel Don Miguel Plaza de Berja
337,Half Moon Bay,US,37.4636,-122.4286,61.92,clear sky,"The Ritz-Carlton, Half Moon Bay"
338,Taltal,CL,-25.4,-70.4833,68.83,overcast clouds,Residencial Karime
345,Lalsot,IN,26.5667,76.3333,50.67,clear sky,Sharma Hotel
346,Mbengwi,CM,6.0167,10.0,69.1,few clouds,Senate Hotel
353,Bilma,NE,18.6853,12.9164,62.44,clear sky,Expeditions Ténére voyages
356,Buraydah,SA,26.326,43.975,61.25,clear sky,فندق راحة السلام
368,Lagoa,PT,39.05,-27.9833,59.36,scattered clouds,Casa Das Faias
373,Huambo,AO,-12.7761,15.7392,60.31,overcast clouds,SiSHotel
387,Shikohabad,IN,27.1,78.6,52.43,clear sky,The Neha's Hotel & Restaurant - Hotels in Shikohabad
388,Masvingo,ZW,-20.0637,30.8277,63.48,overcast clouds,River Side Lodge
403,Ramanuj Ganj,IN,23.8,83.7,59.05,broken clouds,HOTEL SAI SIDDHI
406,Winton,US,37.3894,-120.6133,66.51,haze,Applegate Inn
407,Soe,ID,-9.8607,124.284,66.22,overcast clouds,Dena Hotel
412,Arrecife,ES,28.963,-13.5477,66.27,scattered clouds,Hotel Lancelot
414,Ormara,PK,25.2088,64.6357,63.14,clear sky,Crystal Beach and Camping Resort Ormara
416,Chiang Rai,TH,19.9167,99.9167,59.13,clear sky,Bansaeo Garden and Resort
417,Acaxochitlan,MX,20.1667,-98.2,55.9,scattered clouds,ROMANTICAS CABAÑAS EN BOSQUE
426,Son La,VN,21.3167,103.9,55.87,clear sky,Galaxy Grand Hotel
431,Cuenca,EC,-2.8833,-78.9833,69.93,broken clouds,Hotel Cuenca
433,Villazon,BO,-22.0866,-65.5942,64.85,overcast clouds,La Candelaria
435,Wharton,US,29.3116,-96.1027,57.09,overcast clouds,"Countryside Inn Wharton, TX"
436,Sungaipenuh,ID,-2.0833,101.3833,64.94,overcast clouds,penginapan citra alam
439,Camacha,PT,33.0833,-16.3333,63.54,few clouds,Hotel Porto Santo & Spa
440,Ekangala,ZA,-25.6962,28.7492,69.78,clear sky,Mbal'enhle Guest House
457,Ulladulla,AU,-35.35,150.4667,63.5,overcast clouds,Sandpiper Motel
458,Muros,ES,42.7762,-9.0603,52.84,clear sky,Apartment Av. Castelao
459,Gat,IL,31.61,34.7642,51.78,overcast clouds,OlusHome
460,Dubbo,AU,-32.25,148.6167,64.53,overcast clouds,Quality Inn Dubbo International
467,Selma,US,36.5708,-119.6121,57.9,clear sky,"Holiday Inn Selma-Swancourt, an IHG Hotel"
469,Esperance,AU,-33.8667,121.9,64.24,broken clouds,Hospitality Esperance
480,Ismailia,EG,30.6043,32.2723,53.98,overcast clouds,Mercure Ismailia Forsan Island Hotel
483,Port Macquarie,AU,-31.4333,152.9167,66.16,broken clouds,Rydges Port Macquarie
488,Guerrero Negro,MX,27.9769,-114.0611,65.05,few clouds,"Casa Laguna, Bed & Breakfast"
489,Kiama,AU,-34.6833,150.8667,66.0,overcast clouds,The Sebel Kiama Harbourside
494,Miramar,US,25.9873,-80.2323,66.0,overcast clouds,Casa Miramar
495,Luwero,UG,0.8492,32.4731,68.88,overcast clouds,Forgettable
498,Marrakesh,MA,31.6315,-8.0083,68.07,few clouds,Novotel Marrakech Hivernage
508,San Luis Rio Colorado,MX,32.4631,-114.7767,68.61,clear sky,María Isabel Hernández Jiménez José de
516,Port Said,EG,31.2565,32.2841,51.78,scattered clouds,Aracan Hotel
518,Teguise,ES,29.0605,-13.564,62.82,scattered clouds,B&B La Casona de Nazaret
520,Mount Gambier,AU,-37.8333,140.7667,66.11,scattered clouds,The Commodore
522,Talcahuano,CL,-36.7167,-73.1167,63.55,clear sky,departamento comodo
526,Kunda,IN,25.7167,81.5167,57.85,few clouds,Girja Sankar And Arvind gupta
537,Sur,OM,22.5667,59.5289,68.04,clear sky,Sur Plaza Hotel
542,Palma Del Rio,ES,37.7002,-5.2812,58.59,broken clouds,Hotel Monasterio de San Francisco
552,Luena,AO,-11.7833,19.9167,62.11,light rain,Hotel Kandamba
557,Coquimbo,CL,-29.9533,-71.3436,68.83,clear sky,Hostel Del Puerto
569,Ballina,AU,-28.8667,153.5667,67.96,scattered clouds,Ramada Hotel & Suites by Wyndham Ballina Byron
579,Constitucion,CL,-35.3333,-72.4167,69.64,clear sky,Hotel Boutique Las Azucenas
580,Arlit,NE,18.7369,7.3853,66.33,clear sky,Case de Passage De la Prefecture
584,Shakawe,BW,-18.3667,21.85,68.04,broken clouds,Ditlhapi Guest House
596,Ahipara,NZ,-35.1667,173.1667,67.55,light rain,Ahipara Holiday Park
598,Akyab,MM,20.15,92.9,67.23,clear sky,Hotel Memory
599,Mizdah,LY,31.4451,12.9801,50.25,overcast clouds,محمدالمبروك الاريقط
601,Safford,US,32.834,-109.7076,55.11,clear sky,SpringHill Suites by Marriott Thatcher
603,Nador,MA,35.174,-2.9287,55.65,broken clouds,Hôtel La Giralda
610,Peniche,PT,39.3558,-9.3811,57.76,few clouds,Hotel Star inn Peniche
619,Waycross,US,31.2136,-82.354,52.32,clear sky,Super 8 by Wyndham Waycross GA
621,Banda,IN,25.4833,80.3333,61.02,overcast clouds,Hotel Comfort-Inn
622,Yarim,YE,14.298,44.3779,53.74,clear sky,وليد المسوري ابو اسد
624,Aswan,EG,24.0934,32.907,55.92,clear sky,Nuba Nile
627,Sanming,CN,26.2486,117.6186,57.69,overcast clouds,Sanming Huangting Lijing Hotel
636,Rajshahi,BD,24.3667,88.6,61.29,overcast clouds,Anjum Hotel International
639,Pampa,US,35.5362,-100.9599,52.34,clear sky,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
641,Naze,JP,28.3667,129.4833,64.65,overcast clouds,Shishime Hotel
643,Lata,PT,40.1629,-8.3327,55.81,clear sky,Casa Maquia
644,San Jeronimo,PE,-11.9472,-75.2829,57.51,overcast clouds,Tuki Llajta Pueblo Bonito Eco Lodge
646,Gangapur,IN,26.4833,76.7167,53.4,clear sky,OYO 45271 Hotel Haveli
647,Pyu,MM,18.4833,96.4333,62.02,clear sky,Mr Bo Bo
648,Marsa Matruh,EG,31.3525,27.2453,50.2,scattered clouds,Beau Site
653,Rabo De Peixe,PT,37.8,-25.5833,62.28,few clouds,Quinta das Giestas
656,Guymon,US,36.6828,-101.4816,55.4,clear sky,Simple Rewards
662,Kiratpur,IN,29.5167,78.2,53.35,overcast clouds,Mohd Abdulla Rafeeq Ahmad Mohd Yaseen
665,Doha,QA,25.2867,51.5333,60.78,clear sky,Movenpick Hotel Doha
667,Chicama,PE,-7.8447,-79.1469,66.74,scattered clouds,Balihai Bungalows
